cohort_month,month,months_since_signup,cohort_customers,active_customers,retention_rate_pct
2023-06,2024-10,16,15,6,40.0
2023-06,2024-11,17,15,6,40.0
2023-06,2024-12,18,15,6,40.0
2023-06,2025-01,19,15,6,40.0
2023-06,2025-02,20,15,6,40.0
2023-06,2025-03,21,15,6,40.0
2023-06,2025-04,22,15,6,40.0
2023-06,2025-05,23,15,6,40.0
2023-06,2025-06,24,15,6,40.0
2023-06,2025-07,25,15,6,40.0
2023-06,2025-08,26,15,6,40.0
2023-06,2025-09,27,15,6,40.0
2023-06,2025-10,28,15,6,40.0
2023-06,2025-11,29,15,6,40.0
2023-06,2025-12,30,15,6,40.0
2023-07,2023-07,0,19,18,94.74
2023-07,2023-08,1,19,17,89.47
2023-07,2023-09,2,19,16,84.21
2023-07,2023-10,3,19,16,84.21
2023-07,2023-11,4,19,16,84.21
2023-07,2023-12,5,19,15,78.95
2023-07,2024-01,6,19,14,73.68
2023-07,2024-02,7,19,11,57.89
2023-07,2024-03,8,19,11,57.89
2023-07,2024-04,9,19,11,57.89
2023-07,2024-05,10,19,10,52.63
2023-07,2024-06,11,19,10,52.63
2023-07,2024-07,12,19,10,52.63
2023-07,2024-08,13,19,9,47.37
2023-07,2024-09,14,19,8,42.11
2023-07,2024-10,15,19,8,42.11
2023-07,2024-11,16,19,8,42.11
2023-07,2024-12,17,19,8,42.11
2023-07,2025-01,18,19,7,36.84
2023-07,2025-02,19,19,5,26.32
2023-07,2025-03,20,19,5,26.32
2023-07,2025-04,21,19,4,21.05
2023-07,2025-05,22,19,3,15.79
2023-07,2025-06,23,19,3,15.79
2023-07,2025-07,24,19,3,15.79
2023-07,2025-08,25,19,3,15.79
2023-07,2025-09,26,19,3,15.79
2023-07,2025-10,27,19,3,15.79
2023-07,2025-11,28,19,3,15.79
2023-07,2025-12,29,19,3,15.79
2023-08,2023-08,0,10,10,100.0
2023-08,2023-09,1,10,8,80.0
2023-08,2023-10,2,10,8,80.0
2023-08,2023-11,3,10,8,80.0
2023-08,2023-12,4,10,8,80.0
2023-08,2024-01,5,10,7,70.0
2023-08,2024-02,6,10,6,60.0
2023-08,2024-03,7,10,6,60.0
2023-08,2024-04,8,10,6,60.0
2023-08,2024-05,9,10,6,60.0
2023-08,2024-06,10,10,6,60.0
2023-08,2024-07,11,10,6,60.0
2023-08,2024-08,12,10,6,60.0
2023-08,2024-09,13,10,6,60.0
2023-08,2024-10,14,10,6,60.0
2023-08,2024-11,15,10,5,50.0
2023-08,2024-12,16,10,5,50.0
2023-08,2025-01,17,10,5,50.0
2023-08,2025-02,18,10,5,50.0
2023-08,2025-03,19,10,5,50.0
2023-08,2025-04,20,10,5,50.0
2023-08,2025-05,21,10,5,50.0
2023-08,2025-06,22,10,4,40.0
2023-08,2025-07,23,10,4,40.0
2023-08,2025-08,24,10,4,40.0
2023-08,2025-09,25,10,4,40.0
2023-08,2025-10,26,10,4,40.0
2023-08,2025-11,27,10,4,40.0
2023-08,2025-12,28,10,4,40.0
2023-09,2023-09,0,17,16,94.12
2023-09,2023-10,1,17,14,82.35
2023-09,2023-11,2,17,13,76.47
2023-09,2023-12,3,17,12,70.59
2023-09,2024-01,4,17,11,64.71
2023-09,2024-02,5,17,11,64.71
2023-09,2024-03,6,17,11,64.71
2023-09,2024-04,7,17,10,58.82
2023-09,2024-05,8,17,10,58.82
2023-09,2024-06,9,17,10,58.82
2023-09,2024-07,10,17,10,58.82
2023-09,2024-08,11,17,10,58.82
2023-09,2024-09,12,17,10,58.82
2023-09,2024-10,13,17,10,58.82
2023-09,2024-11,14,17,10,58.82
2023-09,2024-12,15,17,10,58.82
2023-09,2025-01,16,17,9,52.94
2023-09,2025-02,17,17,9,52.94
2023-09,2025-03,18,17,8,47.06
2023-09,2025-04,19,17,7,41.18
2023-09,2025-05,20,17,6,35.29
2023-09,2025-06,21,17,5,29.41
2023-09,2025-07,22,17,5,29.41
2023-09,2025-08,23,17,5,29.41
2023-09,2025-09,24,17,5,29.41
2023-09,2025-10,25,17,5,29.41
2023-09,2025-11,26,17,5,29.41
2023-09,2025-12,27,17,5,29.41
2023-10,2023-10,0,16,16,100.0
2023-10,2023-11,1,16,13,81.25
2023-10,2023-12,2,16,13,81.25
2023-10,2024-01,3,16,12,75.0
2023-10,2024-02,4,16,12,75.0
2023-10,2024-03,5,16,12,75.0
2023-10,2024-04,6,16,12,75.0
2023-10,2024-05,7,16,12,75.0
2023-10,2024-06,8,16,11,68.75
2023-10,2024-07,9,16,10,62.5
2023-10,2024-08,10,16,10,62.5
2023-10,2024-09,11,16,10,62.5
2023-10,2024-10,12,16,10,62.5
2023-10,2024-11,13,16,10,62.5
2023-10,2024-12,14,16,10,62.5
2023-10,2025-01,15,16,9,56.25
2023-10,2025-02,16,16,9,56.25
2023-10,2025-03,17,16,9,56.25
2023-10,2025-04,18,16,9,56.25
2023-10,2025-05,19,16,8,50.0
2023-10,2025-06,20,16,8,50.0
2023-10,2025-07,21,16,8,50.0
2023-10,2025-08,22,16,8,50.0
2023-10,2025-09,23,16,8,50.0
2023-10,2025-10,24,16,8,50.0
2023-10,2025-11,25,16,6,37.5
2023-10,2025-12,26,16,6,37.5
2023-11,2023-11,0,11,11,100.0
2023-11,2023-12,1,11,11,100.0
2023-11,2024-01,2,11,11,100.0
2023-11,2024-02,3,11,11,100.0
2023-11,2024-03,4,11,11,100.0
2023-11,2024-04,5,11,11,100.0
2023-11,2024-05,6,11,10,90.91
2023-11,2024-06,7,11,10,90.91
2023-11,2024-07,8,11,9,81.82
2023-11,2024-08,9,11,9,81.82
2023-11,2024-09,10,11,9,81.82
2023-11,2024-10,11,11,9,81.82
2023-11,2024-11,12,11,9,81.82
2023-11,2024-12,13,11,9,81.82
2023-11,2025-01,14,11,9,81.82
2023-11,2025-02,15,11,9,81.82
2023-11,2025-03,16,11,8,72.73
2023-11,2025-04,17,11,8,72.73
2023-11,2025-05,18,11,8,72.73
2023-11,2025-06,19,11,8,72.73
2023-11,2025-07,20,11,7,63.64
2023-11,2025-08,21,11,7,63.64
2023-11,2025-09,22,11,7,63.64
2023-11,2025-10,23,11,7,63.64
2023-11,2025-11,24,11,7,63.64
2023-11,2025-12,25,11,7,63.64
2023-12,2023-12,0,9,9,100.0
2023-12,2024-01,1,9,9,100.0
2023-12,2024-02,2,9,9,100.0
2023-12,2024-03,3,9,9,100.0
2023-12,2024-04,4,9,9,100.0
2023-12,2024-05,5,9,9,100.0
2023-12,2024-06,6,9,9,100.0
2023-12,2024-07,7,9,9,100.0
2023-12,2024-08,8,9,9,100.0
2023-12,2024-09,9,9,9,100.0
2023-12,2024-10,10,9,8,88.89
2023-12,2024-11,11,9,7,77.78
2023-12,2024-12,12,9,6,66.67
2023-12,2025-01,13,9,6,66.67
2023-12,2025-02,14,9,6,66.67
2023-12,2025-03,15,9,6,66.67
2023-12,2025-04,16,9,6,66.67
2023-12,2025-05,17,9,6,66.67
2023-12,2025-06,18,9,6,66.67
2023-12,2025-07,19,9,6,66.67
2023-12,2025-08,20,9,5,55.56
2023-12,2025-09,21,9,5,55.56
2023-12,2025-10,22,9,5,55.56
2023-12,2025-11,23,9,5,55.56
2023-12,2025-12,24,9,5,55.56
2024-01,2024-01,0,10,10,100.0
2024-01,2024-02,1,10,9,90.0
2024-01,2024-03,2,10,9,90.0
2024-01,2024-04,3,10,9,90.0
2024-01,2024-05,4,10,8,80.0
2024-01,2024-06,5,10,7,70.0
2024-01,2024-07,6,10,7,70.0
2024-01,2024-08,7,10,7,70.0
2024-01,2024-09,8,10,7,70.0
2024-01,2024-10,9,10,7,70.0
2024-01,2024-11,10,10,7,70.0
2024-01,2024-12,11,10,7,70.0
2024-01,2025-01,12,10,7,70.0
2024-01,2025-02,13,10,7,70.0
2024-01,2025-03,14,10,7,70.0
2024-01,2025-04,15,10,6,60.0
2024-01,2025-05,16,10,6,60.0
2024-01,2025-06,17,10,6,60.0
2024-01,2025-07,18,10,6,60.0
2024-01,2025-08,19,10,6,60.0
2024-01,2025-09,20,10,6,60.0
2024-01,2025-10,21,10,6,60.0
2024-01,2025-11,22,10,6,60.0
2024-01,2025-12,23,10,6,60.0
2024-02,2024-02,0,7,7,100.0
2024-02,2024-03,1,7,6,85.71
2024-02,2024-04,2,7,4,57.14
2024-02,2024-05,3,7,3,42.86
2024-02,2024-06,4,7,3,42.86
2024-02,2024-07,5,7,3,42.86
2024-02,2024-08,6,7,3,42.86
2024-02,2024-09,7,7,3,42.86
2024-02,2024-10,8,7,3,42.86
2024-02,2024-11,9,7,3,42.86
2024-02,2024-12,10,7,3,42.86
2024-02,2025-01,11,7,3,42.86
2024-02,2025-02,12,7,3,42.86
2024-02,2025-03,13,7,3,42.86
2024-02,2025-04,14,7,3,42.86
2024-02,2025-05,15,7,2,28.57
2024-02,2025-06,16,7,2,28.57
2024-02,2025-07,17,7,2,28.57
2024-02,2025-08,18,7,2,28.57
2024-02,2025-09,19,7,2,28.57
2024-02,2025-10,20,7,2,28.57
2024-02,2025-11,21,7,2,28.57
2024-02,2025-12,22,7,2,28.57
2024-03,2024-03,0,19,19,100.0
2024-03,2024-04,1,19,18,94.74
2024-03,2024-05,2,19,17,89.47
2024-03,2024-06,3,19,16,84.21
2024-03,2024-07,4,19,15,78.95
2024-03,2024-08,5,19,15,78.95
2024-03,2024-09,6,19,13,68.42
2024-03,2024-10,7,19,13,68.42
2024-03,2024-11,8,19,12,63.16
2024-03,2024-12,9,19,12,63.16
2024-03,2025-01,10,19,12,63.16
2024-03,2025-02,11,19,12,63.16
2024-03,2025-03,12,19,12,63.16
2024-03,2025-04,13,19,10,52.63
2024-03,2025-05,14,19,10,52.63
2024-03,2025-06,15,19,9,47.37
2024-03,2025-07,16,19,9,47.37
2024-03,2025-08,17,19,9,47.37
2024-03,2025-09,18,19,9,47.37
2024-03,2025-10,19,19,8,42.11
2024-03,2025-11,20,19,8,42.11
2024-03,2025-12,21,19,8,42.11
2024-04,2024-04,0,11,11,100.0
2024-04,2024-05,1,11,11,100.0
2024-04,2024-06,2,11,10,90.91
2024-04,2024-07,3,11,10,90.91
2024-04,2024-08,4,11,10,90.91
2024-04,2024-09,5,11,9,81.82
2024-04,2024-10,6,11,8,72.73
2024-04,2024-11,7,11,8,72.73
2024-04,2024-12,8,11,7,63.64
2024-04,2025-01,9,11,7,63.64
2024-04,2025-02,10,11,7,63.64
2024-04,2025-03,11,11,7,63.64
2024-04,2025-04,12,11,7,63.64
2024-04,2025-05,13,11,7,63.64
2024-04,2025-06,14,11,7,63.64
2024-04,2025-07,15,11,7,63.64
2024-04,2025-08,16,11,7,63.64
2024-04,2025-09,17,11,7,63.64
2024-04,2025-10,18,11,6,54.55
2024-04,2025-11,19,11,6,54.55
2024-04,2025-12,20,11,6,54.55
2024-05,2024-05,0,14,14,100.0
2024-05,2024-06,1,14,13,92.86
2024-05,2024-07,2,14,11,78.57
2024-05,2024-08,3,14,11,78.57
2024-05,2024-09,4,14,11,78.57
2024-05,2024-10,5,14,11,78.57
2024-05,2024-11,6,14,11,78.57
2024-05,2024-12,7,14,10,71.43
2024-05,2025-01,8,14,9,64.29
2024-05,2025-02,9,14,9,64.29
2024-05,2025-03,10,14,9,64.29
2024-05,2025-04,11,14,9,64.29
2024-05,2025-05,12,14,9,64.29
2024-05,2025-06,13,14,9,64.29
2024-05,2025-07,14,14,9,64.29
2024-05,2025-08,15,14,9,64.29
2024-05,2025-09,16,14,9,64.29
2024-05,2025-10,17,14,8,57.14
2024-05,2025-11,18,14,8,57.14
2024-05,2025-12,19,14,8,57.14
2024-06,2024-06,0,13,13,100.0
2024-06,2024-07,1,13,12,92.31
2024-06,2024-08,2,13,11,84.62
2024-06,2024-09,3,13,11,84.62
2024-06,2024-10,4,13,11,84.62
2024-06,2024-11,5,13,10,76.92
2024-06,2024-12,6,13,10,76.92
2024-06,2025-01,7,13,10,76.92
2024-06,2025-02,8,13,10,76.92
2024-06,2025-03,9,13,10,76.92
2024-06,2025-04,10,13,9,69.23
2024-06,2025-05,11,13,9,69.23
2024-06,2025-06,12,13,8,61.54
2024-06,2025-07,13,13,8,61.54
2024-06,2025-08,14,13,8,61.54
2024-06,2025-09,15,13,8,61.54
2024-06,2025-10,16,13,8,61.54
2024-06,2025-11,17,13,8,61.54
2024-06,2025-12,18,13,8,61.54
2024-07,2024-07,0,14,14,100.0
2024-07,2024-08,1,14,14,100.0
2024-07,2024-09,2,14,12,85.71
2024-07,2024-10,3,14,12,85.71
2024-07,2024-11,4,14,12,85.71
2024-07,2024-12,5,14,11,78.57
2024-07,2025-01,6,14,11,78.57
2024-07,2025-02,7,14,11,78.57
2024-07,2025-03,8,14,11,78.57
2024-07,2025-04,9,14,10,71.43
2024-07,2025-05,10,14,10,71.43
2024-07,2025-06,11,14,10,71.43
2024-07,2025-07,12,14,10,71.43
2024-07,2025-08,13,14,9,64.29
2024-07,2025-09,14,14,9,64.29
2024-07,2025-10,15,14,8,57.14
2024-07,2025-11,16,14,8,57.14
2024-07,2025-12,17,14,8,57.14
2024-08,2024-08,0,12,12,100.0
2024-08,2024-09,1,12,12,100.0
2024-08,2024-10,2,12,10,83.33
2024-08,2024-11,3,12,10,83.33
2024-08,2024-12,4,12,10,83.33
2024-08,2025-01,5,12,10,83.33
2024-08,2025-02,6,12,9,75.0
2024-08,2025-03,7,12,9,75.0
2024-08,2025-04,8,12,8,66.67
2024-08,2025-05,9,12,7,58.33
2024-08,2025-06,10,12,6,50.0
2024-08,2025-07,11,12,6,50.0
2024-08,2025-08,12,12,5,41.67
2024-08,2025-09,13,12,5,41.67
2024-08,2025-10,14,12,4,33.33
2024-08,2025-11,15,12,4,33.33
2024-08,2025-12,16,12,4,33.33
2024-09,2024-09,0,11,11,100.0
2024-09,2024-10,1,11,9,81.82
2024-09,2024-11,2,11,8,72.73
2024-09,2024-12,3,11,8,72.73
2024-09,2025-01,4,11,8,72.73
2024-09,2025-02,5,11,8,72.73
2024-09,2025-03,6,11,8,72.73
2024-09,2025-04,7,11,8,72.73
2024-09,2025-05,8,11,7,63.64
2024-09,2025-06,9,11,7,63.64
2024-09,2025-07,10,11,7,63.64
2024-09,2025-08,11,11,6,54.55
2024-09,2025-09,12,11,6,54.55
2024-09,2025-10,13,11,6,54.55
2024-09,2025-11,14,11,6,54.55
2024-09,2025-12,15,11,6,54.55
2024-10,2024-10,0,13,13,100.0
2024-10,2024-11,1,13,13,100.0
2024-10,2024-12,2,13,12,92.31
2024-10,2025-01,3,13,12,92.31
2024-10,2025-02,4,13,11,84.62
2024-10,2025-03,5,13,11,84.62
2024-10,2025-04,6,13,9,69.23
2024-10,2025-05,7,13,9,69.23
2024-10,2025-06,8,13,9,69.23
2024-10,2025-07,9,13,9,69.23
2024-10,2025-08,10,13,9,69.23
2024-10,2025-09,11,13,9,69.23
2024-10,2025-10,12,13,9,69.23
2024-10,2025-11,13,13,9,69.23
2024-10,2025-12,14,13,9,69.23
2024-11,2024-11,0,12,11,91.67
2024-11,2024-12,1,12,11,91.67
2024-11,2025-01,2,12,10,83.33
2024-11,2025-02,3,12,9,75.0
2024-11,2025-03,4,12,9,75.0
2024-11,2025-04,5,12,9,75.0
2024-11,2025-05,6,12,7,58.33
2024-11,2025-06,7,12,7,58.33
2024-11,2025-07,8,12,7,58.33
2024-11,2025-08,9,12,6,50.0
2024-11,2025-09,10,12,6,50.0
2024-11,2025-10,11,12,6,50.0
2024-11,2025-11,12,12,6,50.0
2024-11,2025-12,13,12,6,50.0
2024-12,2024-12,0,15,14,93.33
2024-12,2025-01,1,15,12,80.0
2024-12,2025-02,2,15,12,80.0
2024-12,2025-03,3,15,11,73.33
2024-12,2025-04,4,15,9,60.0
2024-12,2025-05,5,15,8,53.33
2024-12,2025-06,6,15,8,53.33
2024-12,2025-07,7,15,8,53.33
2024-12,2025-08,8,15,8,53.33
2024-12,2025-09,9,15,8,53.33
2024-12,2025-10,10,15,8,53.33
2024-12,2025-11,11,15,6,40.0
2024-12,2025-12,12,15,6,40.0
2025-01,2025-01,0,13,13,100.0
2025-01,2025-02,1,13,13,100.0
2025-01,2025-03,2,13,12,92.31
2025-01,2025-04,3,13,12,92.31
2025-01,2025-05,4,13,12,92.31
2025-01,2025-06,5,13,11,84.62
2025-01,2025-07,6,13,10,76.92
2025-01,2025-08,7,13,10,76.92
2025-01,2025-09,8,13,10,76.92
2025-01,2025-10,9,13,10,76.92
2025-01,2025-11,10,13,10,76.92
2025-01,2025-12,11,13,9,69.23
2025-02,2025-02,0,15,14,93.33
2025-02,2025-03,1,15,13,86.67
2025-02,2025-04,2,15,13,86.67
2025-02,2025-05,3,15,12,80.0
2025-02,2025-06,4,15,12,80.0
2025-02,2025-07,5,15,12,80.0
2025-02,2025-08,6,15,12,80.0
2025-02,2025-09,7,15,12,80.0
2025-02,2025-10,8,15,11,73.33
2025-02,2025-11,9,15,10,66.67
2025-02,2025-12,10,15,10,66.67
2025-03,2025-03,0,18,18,100.0
2025-03,2025-04,1,18,15,83.33
2025-03,2025-05,2,18,15,83.33
2025-03,2025-06,3,18,13,72.22
2025-03,2025-07,4,18,11,61.11
2025-03,2025-08,5,18,11,61.11
2025-03,2025-09,6,18,10,55.56
2025-03,2025-10,7,18,10,55.56
2025-03,2025-11,8,18,10,55.56
2025-03,2025-12,9,18,10,55.56
2025-04,2025-04,0,13,12,92.31
2025-04,2025-05,1,13,9,69.23
2025-04,2025-06,2,13,8,61.54
2025-04,2025-07,3,13,7,53.85
2025-04,2025-08,4,13,7,53.85
2025-04,2025-09,5,13,7,53.85
2025-04,2025-10,6,13,5,38.46
2025-04,2025-11,7,13,5,38.46
2025-04,2025-12,8,13,4,30.77
2025-05,2025-05,0,12,12,100.0
2025-05,2025-06,1,12,12,100.0
2025-05,2025-07,2,12,12,100.0
2025-05,2025-08,3,12,11,91.67
2025-05,2025-09,4,12,11,91.67
2025-05,2025-10,5,12,11,91.67
2025-05,2025-11,6,12,10,83.33
2025-05,2025-12,7,12,10,83.33
2025-06,2025-06,0,15,14,93.33
2025-06,2025-07,1,15,13,86.67
2025-06,2025-08,2,15,13,86.67
2025-06,2025-09,3,15,13,86.67
2025-06,2025-10,4,15,13,86.67
2025-06,2025-11,5,15,12,80.0
2025-06,2025-12,6,15,12,80.0
2025-07,2025-07,0,9,8,88.89
2025-07,2025-08,1,9,8,88.89
2025-07,2025-09,2,9,8,88.89
2025-07,2025-10,3,9,8,88.89
2025-07,2025-11,4,9,7,77.78
2025-07,2025-12,5,9,7,77.78
2025-08,2025-08,0,7,7,100.0
2025-08,2025-09,1,7,7,100.0
2025-08,2025-10,2,7,7,100.0
2025-08,2025-11,3,7,6,85.71
2025-08,2025-12,4,7,5,71.43
2025-09,2025-09,0,13,13,100.0
2025-09,2025-10,1,13,13,100.0
2025-09,2025-11,2,13,13,100.0
2025-09,2025-12,3,13,13,100.0
2025-10,2025-10,0,18,18,100.0
2025-10,2025-11,1,18,18,100.0
2025-10,2025-12,2,18,18,100.0
2025-11,2025-11,0,11,11,100.0
2025-11,2025-12,1,11,10,90.91
2025-12,2025-12,0,11,11,100.0
